iter	Passed	Remaining
266	494	1357
267	495	1354
268	497	1350
269	498	1347
270	499	1343
271	501	1342
272	503	1339
273	504	1338
274	506	1335
275	508	1333
276	509	1330
277	511	1327
278	512	1324
279	513	1321
280	516	1320
281	517	1318
282	518	1314
283	521	1313
284	522	1312
285	524	1308
286	529	1315
287	531	1313
288	535	1318
289	537	1315
290	539	1313
291	540	1310
292	541	1306
293	543	1304
294	544	1301
295	552	1315
296	558	1322
297	560	1319
298	562	1318
299	565	1319
300	568	1319
301	570	1317
302	571	1315
303	573	1313
304	576	1314
305	579	1315
306	581	1313
307	584	1314
308	587	1313
309	588	1310
310	590	1307
311	594	1310
312	596	1308
313	597	1305
314	598	1301
315	599	1298
316	601	1295
317	602	1291
318	603	1288
319	605	1286
320	607	1284
321	608	1281
322	610	1278
323	611	1275
324	612	1272
325	613	1268
326	615	1265
327	616	1263
328	618	1260
329	619	1258
330	621	1255
331	622	1252
332	625	1252
333	626	1249
334	629	1249
335	631	1247
336	632	1244
337	634	1242
338	635	1239
339	638	1238
340	640	1236
341	641	1234
342	643	1231
343	644	1228
344	645	1225
345	647	1223
346	648	1220
347	649	1217
348	651	1214
349	652	1211
350	653	1208
351	655	1205
352	656	1203
353	657	1200
354	658	1197
355	660	1194
356	661	1190
357	662	1187
358	663	1184
359	664	1182
360	665	1178
361	666	1175
362	668	1172
363	669	1170
364	670	1167
365	672	1164
366	673	1162
367	675	1159
368	676	1156
369	677	1153
370	679	1151
371	680	1148
372	681	1145
373	682	1142
374	683	1139
375	685	1138
376	687	1135
377	688	1133
378	690	1130
379	691	1127
380	692	1125
381	694	1123
382	695	1120
383	696	1117
384	697	1114
385	699	1111
386	701	1110
387	702	1108
388	704	1106
389	705	1103
390	706	1100
391	707	1098
392	709	1095
393	710	1093
394	711	1090
395	713	1087
396	714	1085
397	715	1082
398	717	1080
399	718	1077
400	719	1074
401	720	1072
402	721	1069
403	723	1066
404	724	1064
405	725	1061
406	727	1059
407	728	1056
408	729	1053
409	730	1051
410	732	1049
411	733	1047
412	734	1044
413	735	1041
414	737	1039
415	738	1036
416	739	1033
417	741	1031
418	742	1029
419	743	1027
420	746	1026
421	748	1025
422	749	1022
423	750	1020
424	752	1017
425	753	1015
426	754	1013
427	756	1010
428	757	1008
429	758	1005
430	760	1003
431	761	1001
432	762	998
433	764	996
434	765	994
435	766	991
436	767	989
437	769	987
438	771	985
439	772	983
440	773	980
441	775	978
442	776	976
443	778	974
444	780	973
445	781	971
446	783	968
447	785	967
448	786	965
449	787	962
450	789	960
451	790	958
452	792	956
453	794	955
454	795	952
455	796	950
456	797	948
457	799	946
458	801	944
